Sample,Sample_source_name,OGT,OGA
GSM1300062,tissue: clear cell renal cell carcinoma,-1.7592565110684986,-0.5605565946360971
GSM1300063,tissue: normal kidney,-0.9557292556159217,-2.002085896038626
GSM1300064,tissue: clear cell renal cell carcinoma,-0.6749123838697502,-0.22303199954762662
GSM1300065,tissue: normal kidney,-2.297459492569149,-1.0278265780615932
GSM1300066,tissue: clear cell renal cell carcinoma,-0.26488359645703324,-1.4005626776843776
GSM1300067,tissue: normal kidney,2.4489931361819512,1.025135850275505
GSM1300068,tissue: clear cell renal cell carcinoma,-1.4519820811795268,-0.4752737812923752
GSM1300069,tissue: normal kidney,-0.8840783360589808,-1.4755400317315561
GSM1300070,tissue: clear cell renal cell carcinoma,-1.674681233188346,-3.548077328388439
GSM1300071,tissue: normal kidney,-1.4472407062171477,-1.6186176210165208
GSM1300072,tissue: clear cell renal cell carcinoma,0.04403860207353915,-0.48091528037985704
GSM1300073,tissue: normal kidney,-1.2234939751230043,-1.999942965908763
GSM1300074,tissue: clear cell renal cell carcinoma,0.8722787309393184,0.6305415137579033
GSM1300075,tissue: normal kidney,0.6263737818366605,-1.141722027620036
GSM1300076,tissue: clear cell renal cell carcinoma,0.4105579993683997,0.5452166965015036
GSM1300077,tissue: normal kidney,-1.2095590633538775,-1.8188542031091397
GSM1300078,tissue: clear cell renal cell carcinoma,-0.413995388738778,0.3957811926496654
GSM1300079,tissue: normal kidney,-1.2831339385761622,-0.3639110234013902
GSM1300080,tissue: clear cell renal cell carcinoma,0.0068939425947986315,-0.8628949041840576
GSM1300081,tissue: normal kidney,-0.9134270506171897,-1.2862768099882067
GSM1300082,tissue: clear cell renal cell carcinoma,-1.3567742791494048,1.0594729483915861
GSM1300083,tissue: normal kidney,-2.366328415382882,-1.58103033375055
GSM1300084,tissue: clear cell renal cell carcinoma,0.8532208428633082,0.8412234109752111
GSM1300085,tissue: normal kidney,-2.0623554566511575,-0.7742121136293196
GSM1300086,tissue: clear cell renal cell carcinoma,-1.1631844981784978,0.9476820964623353
GSM1300087,tissue: normal kidney,-0.9819903126644747,-0.8142880356186711
GSM1300088,tissue: clear cell renal cell carcinoma,0.15315306552481886,-0.5540340029065015
GSM1300089,tissue: normal kidney,-0.02126820627359967,-0.8574708090994844
GSM1300090,tissue: clear cell renal cell carcinoma,1.0632861101634354,-0.2586239622430175
GSM1300091,tissue: normal kidney,-1.0271536279085964,-0.3455817902675019
GSM1300092,tissue: clear cell renal cell carcinoma,-1.8438539040129642,0.8181096991404035
GSM1300093,tissue: normal kidney,-0.17666012944868273,-0.3498811339496616
GSM1300094,tissue: clear cell renal cell carcinoma,-0.3890678174994332,1.719023619578976
GSM1300095,tissue: normal kidney,-0.8605571291062426,0.6611095791492625
GSM1300096,tissue: clear cell renal cell carcinoma,-0.7548908449214913,0.02085370395768732
GSM1300097,tissue: normal kidney,0.08604388449549658,-2.008456988847589
GSM1300098,tissue: clear cell renal cell carcinoma,-0.04970427413934002,0.07479821371560111
GSM1300099,tissue: normal kidney,-0.01962891514559646,0.16739409136490266
GSM1300100,tissue: clear cell renal cell carcinoma,-0.39480822267607635,0.10394332489382367
GSM1300101,tissue: normal kidney,0.027416428354207642,0.15153764207233286
GSM1300102,tissue: clear cell renal cell carcinoma,2.7576979164111215,0.722362954671066
GSM1300103,tissue: normal kidney,-0.14252298331914948,-0.3149397602584429
GSM1300104,tissue: clear cell renal cell carcinoma,-0.8301420759403251,1.5256924178451015
