Sample,Sample_source_name,OGT,OGA
GSM1413225,healthy,1.170635095069266,0.661529918704583
GSM1413226,healthy,2.1237721224898345,1.6545143066491892
GSM1413227,cancer,-0.14534316932878544,-0.6111245175317115
GSM1413228,healthy,-1.2349507759753693,-0.832712309486295
GSM1413229,cancer,-0.40609624453028653,-0.8701798699088864
GSM1413230,healthy,-0.10205929350297642,-0.43660002099791523
GSM1413231,cancer,-0.043320794444840646,-0.28348811946066205
GSM1413232,healthy,-0.6263700604185853,0.06745653800757992
GSM1413233,healthy,-1.3159443616738782,-0.7845694911784938
GSM1413234,healthy,-0.4061753103016958,0.21875411691252467
GSM1413235,healthy,-0.17513140055546883,0.026736810984555236
GSM1413236,cancer,2.1546075937007965,2.3422495879177587
GSM1413237,cancer,0.6388755601066285,1.611688520788086
GSM1413238,cancer,-0.08388181672016727,-0.5005669897626701
GSM1413239,healthy,-1.2336931747120052,-0.6610697989629075
GSM1413240,healthy,-0.16459771098935785,-0.03717637249680647
GSM1413241,cancer,-0.2831447994362192,-0.46265448081357646
GSM1413242,healthy,0.4506074457425599,0.8964374944039529
GSM1413243,healthy,-0.9718848623459506,-0.10025929489962973
GSM1413244,cancer,-1.086589933914187,-0.9285015186290285
GSM1413245,healthy,-0.19731178794692156,-0.0420597104160363
GSM1413246,cancer,-0.16052589071797513,-0.39363121138768625
GSM1413247,healthy,-1.1899013268788872,-1.1777900871787208
GSM1413248,healthy,-0.5596352355086919,0.15288554338661317
GSM1413249,cancer,-0.09396255429137242,-0.6764362745796962
GSM1413250,healthy,-0.6514589718150088,0.08762711748960793
GSM1413251,cancer,-1.2000874890714077,-1.0309763379052055
GSM1413252,healthy,-0.7737013039779655,-0.03904044239434581
GSM1413253,cancer,-0.22401622382473613,-0.7648694748338383
GSM1413254,healthy,-0.6858193100579016,-0.7881446355950893
GSM1413255,cancer,-0.6360657438028354,-1.2269828008133887
GSM1413256,cancer,-0.3584839857598372,-0.20570566551159594
GSM1413257,cancer,-0.6377513887105923,-0.8977036361020598
GSM1413258,cancer,-0.8990227527228911,-0.7216811765676305
GSM1413259,cancer,-1.3012635058887951,-1.6746865997713305
GSM1413260,cancer,0.5964087638816044,0.5405450623513934
GSM1413261,cancer,1.210802073719505,0.6466496405289971
GSM1413262,cancer,-0.28152659736103824,-0.5123407573194143
GSM1413263,cancer,0.9628244252593542,-0.35507349790849746
GSM1413264,cancer,2.208309715867852,3.0092033456563305
GSM1413265,cancer,1.4222401296112688,-0.19435277649918958
GSM1413266,cancer,1.5791046731316298,0.9914085150625489
GSM1413267,cancer,1.2651918919867504,2.2295571479932152
GSM1413268,cancer,0.37977732768584715,0.7898084839212481
GSM1413269,cancer,1.9665609589337176,1.283325718154191
